//Want13 - Scripts
"!SS_SCRIP16" "wanted/nagatow/niscript0.wav"
"!SC_ANSWER13" "wanted/nagatow/nbno.wav"
"!SC_ANSWER14" "wanted/nagatow/nbsoundpale.wav"
"!SC_ANSWER15" "wanted/nagatow/nbasktika.wav"
"!SC_ANSWER16" "wanted/nagatow/nbuhhuh.wav"
"!SC_ANSWER17" "wanted/nagatow/nbummerrr.wav"
"!SC_ANSWER18" "wanted/nagatow/nbno.wav"
"!SC_ANSWER19" "wanted/nagatow/nbsoundpale.wav"
"!SC_ANSWER20" "wanted/nagatow/nbasktika.wav"
"!SC_ANSWER21" "wanted/nagatow/nbuhhuh.wav"
"!SC_ANSWER22" "wanted/nagatow/nbummerrr.wav"
"!SC_ANSWER23" "wanted/nagatow/nbno.wav"
"!SC_ANSWER24" "wanted/nagatow/nbsoundpale.wav"
"!SC_ANSWER25" "wanted/nagatow/nbasktika.wav"
"!SC_ANSWER26" "wanted/nagatow/nbuhhuh.wav"
"!SC_ANSWER27" "wanted/nagatow/nbummerrr.wav"
"!SC_ANSWER28" "wanted/nagatow/nbno.wav"
"!SC_ANSWER29" "wanted/nagatow/nbsoundpale.wav"

//Generic Questions
"!SC_QUESTION0" "wanted/nagatow/nbhappyan.wav"
"!SC_QUESTION1" "wanted/nagatow/nbloincloth.wav"
"!SC_QUESTION2" "wanted/nagatow/nbnosquaws.wav"
"!SC_QUESTION3" "wanted/nagatow/nbwhiskey.wav"
"!SC_QUESTION4" "wanted/nagatow/nbthreelegs.wav"
"!SC_QUESTION5" "wanted/nagatow/nbhappyan.wav"
"!SC_QUESTION6" "wanted/nagatow/nbloincloth.wav"
"!SC_QUESTION7" "wanted/nagatow/nbnosquaws.wav"
"!SC_QUESTION8" "wanted/nagatow/nbwhiskey.wav"
"!SC_QUESTION9" "wanted/nagatow/nbthreelegs.wav"
"!SC_QUESTION10" "wanted/nagatow/nbhappyan.wav"
"!SC_QUESTION11" "wanted/nagatow/nbloincloth.wav"
"!SC_QUESTION12" "wanted/nagatow/nbnosquaws.wav"
"!SC_QUESTION13" "wanted/nagatow/nbwhiskey.wav"
"!SC_QUESTION14" "wanted/nagatow/nbthreelegs.wav"
"!SC_QUESTION15" "wanted/nagatow/nbhappyan.wav"
"!SC_QUESTION16" "wanted/nagatow/nbloincloth.wav"
"!SC_QUESTION17" "wanted/nagatow/nbnosquaws.wav"
"!SC_QUESTION18" "wanted/nagatow/nbwhiskey.wav"
"!SC_QUESTION19" "wanted/nagatow/nbthreelegs.wav"
"!SC_QUESTION20" "wanted/nagatow/nbhappyan.wav"
"!SC_QUESTION21" "wanted/nagatow/nbloincloth.wav"
"!SC_QUESTION22" "wanted/nagatow/nbnosquaws.wav"
"!SC_QUESTION23" "wanted/nagatow/nbwhiskey.wav"
"!SC_QUESTION24" "wanted/nagatow/nbthreelegs.wav"
"!SC_QUESTION25" "wanted/nagatow/nbhappyan.wav"
"!SC_QUESTION26" "wanted/nagatow/nbloincloth.wav"

//nagatow is Idle - No slur intended
"!SC_IDLE0" "wanted/nagatow/nbthirsty.wav"
"!SC_IDLE1" "wanted/nagatow/nbkinky.wav"
"!SC_IDLE2" "wanted/nagatow/nbillshowim.wav"
"!SC_IDLE3" "wanted/nagatow/nbcrazywoman.wav"
"!SC_IDLE4" "wanted/nagatow/nbthirsty.wav"
"!SC_IDLE5" "wanted/nagatow/nbkinky.wav"
"!SC_IDLE6" "wanted/nagatow/nbillshowim.wav"
"!SC_IDLE7" "wanted/nagatow/nbcrazywoman.wav"
"!SC_IDLE8" "wanted/nagatow/nbthirsty.wav"
"!SC_IDLE9" "wanted/nagatow/nbkinky.wav"
"!SC_IDLE10" "wanted/nagatow/nbillshowim.wav"
"!SC_IDLE11" "wanted/nagatow/nbcrazywoman.wav"
"!SC_IDLE12" "wanted/nagatow/nbthirsty.wav"
"!SC_IDLE13" "wanted/nagatow/nbkinky.wav"

// Warning Player
"!SC_NOGO" "wanted/nagatow/nbdanger.wav"

// Sees monster
"!SC_MONST0" "wanted/nagatow/nbrun.wav"
"!SC_MONST1" "wanted/nagatow/nbrun.wav"

//Hears something
"!SC_HEAR0" "wanted/nagatow/nbquiet.wav"
"!SC_HEAR1" "wanted/nagatow/nbquiet.wav"
"!SC_HEAR2" "wanted/nagatow/nbquiet.wav"

//Smells Something
"!SC_SMELL0" "wanted/nagatow/nboldshoes.wav"
"!SC_SMELL1" "wanted/nagatow/nboldshoes.wav"
"!SC_SMELL2" "wanted/nagatow/nboldshoes.wav"
"!SC_SMELL3" "wanted/nagatow/nboldshoes.wav"

//nagatow is Wounded
"!SC_WOUND0" "wanted/nagatow/nbouch.wav"
"!SC_WOUND1" "wanted/nagatow/nbaagghh.wav"

//nagatow is mortaly wounded
"!SC_MORTAL0" "wanted/nagatow/nbergg.wav"
"!SC_MORTAL1" "wanted/nagatow/nbergg.wav"

//Sees wounded player
"!SC_CUREA" "wanted/nagatow/nbcure.wav"
"!SC_CUREB" "wanted/nagatow/nbcure.wav"
"!SC_CUREC" "wanted/nagatow/nbcure.wav"

//Player USES when wounded
"!SC_HEAL0" "wanted/nagatow/nbheal.wav"
"!SC_HEAL1" "wanted/nagatow/nbheal.wav"
"!SC_HEAL2" "wanted/nagatow/nbheal.wav"
"!SC_HEAL3" "wanted/nagatow/nbheal.wav"
"!SC_HEAL4" "wanted/nagatow/nbheal.wav"
"!SC_HEAL5" "wanted/nagatow/nbheal.wav"
"!SC_HEAL6" "wanted/nagatow/nbheal.wav"
"!SC_HEAL7" "wanted/nagatow/nbheal.wav"

//nagatow is terrified
"!SC_FEAR0" "wanted/nagatow/nbprotectme.wav"
"!SC_FEAR1" "wanted/nagatow/nbcurse.wav"
"!SC_FEAR2" "wanted/nagatow/nbhey.wav"
"!SC_FEAR3" "wanted/nagatow/nbprotectme.wav"
"!SC_FEAR4" "wanted/nagatow/nbprotectme.wav"
"!SC_FEAR5" "wanted/nagatow/nbcurse.wav"
"!SC_FEAR6" "wanted/nagatow/nbhey.wav"
"!SC_FEAR7" "wanted/nagatow/nbprotectme.wav"
"!SC_FEAR8" "wanted/nagatow/nbprotectme.wav"
"!SC_FEAR9" "wanted/nagatow/nbcurse.wav"
"!SC_FEAR10" "wanted/nagatow/nbhey.wav"
"!SC_FEAR11" "wanted/nagatow/nbprotectme.wav"
"!SC_FEAR12" "wanted/nagatow/nbprotectme.wav"

//nagatow Screams
"!SC_SCREAM0" "wanted/nagatow/niscream5.wav"
"!SC_SCREAM1" "wanted/nagatow/niscream6.wav"
"!SC_SCREAM2" "wanted/nagatow/niforicecream.wav"
"!SC_SCREAM3" "wanted/nagatow/niweallscream.wav"
"!SC_SCREAM4" "wanted/nagatow/niyouscream.wav"
"!SC_SCREAM5" "wanted/nagatow/niforicecream.wav"
"!SC_SCREAM6" "wanted/nagatow/niscream6.wav"
"!SC_SCREAM7" "wanted/nagatow/niscream6.wav"
"!SC_SCREAM8" "wanted/nagatow/niscream5.wav"
"!SC_SCREAM9" "wanted/nagatow/niforicecream.wav"
"!SC_SCREAM10" "wanted/nagatow/niscream6.wav"
"!SC_SCREAM11" "wanted/nagatow/niyouscream.wav"
"!SC_SCREAM12" "wanted/nagatow/niforicecream.wav"
"!SC_SCREAM13" "wanted/nagatow/niscream5.wav"
"!SC_SCREAM14" "wanted/nagatow/niweallscream.wav"

//Is scared by player actions
"!SC_SCARED0" "wanted/nagatow/nbdontscare.wav"
"!SC_SCARED1" "wanted/nagatow/nbdosomething.wav"
"!SC_SCARED2" "wanted/nagatow/nbdontscare.wav"

"!SC_REVIVE1" "null.wav"
"!SC_REVIVE2" "null.wav"
"!SC_REVIVE3" "null.wav"
"!SC_REVIVE4" "null.wav"
"!SC_REVIVE5" "null.wav"

"!SC_DEADALLY1" "null.wav"
"!SC_DEADALLY2" "null.wav"
"!SC_DEADALLY3" "null.wav"
"!SC_DEADALLY4" "null.wav"
"!SC_DEADALLY5" "null.wav"

"!SC_PLFEAR1" "null.wav"
"!SC_PLFEAR2" "null.wav"
"!SC_PLFEAR3" "null.wav"
"!SC_PLFEAR4" "null.wav"
"!SC_PLFEAR5" "null.wav"

//predisaster masacre
"!SC_PHELLO0" "wanted/nagatow/nipaleface.wav"
"!SC_PHELLO1" "wanted/nagatow/nbhellohat.wav"
"!SC_PHELLO2" "wanted/nagatow/nipaleface.wav"
"!SC_PHELLO3" "wanted/nagatow/nbhellohat.wav"
"!SC_PHELLO4" "wanted/nagatow/nipaleface.wav"

//Generic Questions
"!SC_PQUEST0" "wanted/nagatow/nbhappyan.wav"
"!SC_PQUEST1" "wanted/nagatow/nbloincloth.wav"
"!SC_PQUEST2" "wanted/nagatow/nbnosquaws.wav"
"!SC_PQUEST3" "wanted/nagatow/nbwhiskey.wav"
"!SC_PQUEST4" "wanted/nagatow/nbthreelegs.wav"
"!SC_PQUEST5" "wanted/nagatow/nbhappyan.wav"
"!SC_PQUEST6" "wanted/nagatow/nbloincloth.wav"
"!SC_PQUEST7" "wanted/nagatow/nbnosquaws.wav"
"!SC_PQUEST8" "wanted/nagatow/nbwhiskey.wav"
"!SC_PQUEST9" "wanted/nagatow/nbthreelegs.wav"
"!SC_PQUEST10" "wanted/nagatow/nbhappyan.wav"
"!SC_PQUEST11" "wanted/nagatow/nbloincloth.wav"
"!SC_PQUEST12" "wanted/nagatow/nbnosquaws.wav"
"!SC_PQUEST13" "wanted/nagatow/nbwhiskey.wav"
"!SC_PQUEST14" "wanted/nagatow/nbthreelegs.wav"
"!SC_PQUEST15" "wanted/nagatow/nbhappyan.wav"
"!SC_PQUEST16" "wanted/nagatow/nbloincloth.wav"
"!SC_PQUEST17" "wanted/nagatow/nbnosquaws.wav"

"!SC_PIDLE0" "wanted/nagatow/nbthirsty.wav"
"!SC_PIDLE1" "wanted/nagatow/nbkinky.wav"
"!SC_PIDLE2" "wanted/nagatow/nbillshowim.wav"
"!SC_PIDLE3" "wanted/nagatow/nbcrazywoman.wav"
"!SC_PIDLE4" "wanted/nagatow/nbthirsty.wav"
"!SC_PIDLE5" "wanted/nagatow/nbkinky.wav"
"!SC_PIDLE6" "wanted/nagatow/nbillshowim.wav"
"!SC_PIDLE7" "wanted/nagatow/nbcrazywoman.wav"
"!SC_PIDLE8" "wanted/nagatow/nbthirsty.wav"
"!SC_PIDLE9" "wanted/nagatow/nbkinky.wav"
"!SC_PIDLE10" "wanted/nagatow/nbillshowim.wav"

"!SC_POK0" "wanted/nagatow/nbok.wav"
"!SC_POK1" "wanted/nagatow/nbifollow.wav"
"!SC_POK2" "wanted/nagatow/nbok.wav"
"!SC_POK3" "wanted/nagatow/nbifollow.wav"
"!SC_POK4" "wanted/nagatow/nbok.wav"
